source_id,title,kind,creator_or_channel,url,published_date,language,notes
yt_vbgEC6lA7Do,Joscha Bach: We need to understand the nature of AI to understand who we are,youtube,Singularity Weblog,https://www.youtube.com/watch?v=vbgEC6lA7Do,2018-11-14,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
web_singularityweblog_com_joscha_bach,Joscha Bach: We need to understand the nature of AI to understand who we are,web,Singularity Weblog,https://www.singularityweblog.com/joscha-bach/,2018-11-14,,curation_status=candidate tier=supporting discovered_via=singularityweblog format=essay
yt_OheY9DIUie4,Planetary Intelligence: Humanities Future in the Age of AI Symposium with Joscha Bach,youtube,BEYOND CENTER,https://www.youtube.com/watch?v=OheY9DIUie4,2018-10-08,,curation_status=candidate tier=aux discovered_via=ytsearchdate:joscha_bach format=talk
yt_NuWdXv16H2k,Cognitive Biases & in-group convergences - Joscha Bach,youtube,athangelos prideaux,https://www.youtube.com/watch?v=NuWdXv16H2k,2018-06-25,,curation_status=reject tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_mkROH1QlDi0,"Consciousness Central 2018 - Program 3 with Selen Atasoy, Joscha Bach",youtube,Conscious Pictures,https://www.youtube.com/watch?v=mkROH1QlDi0,2018-06-05,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_m4nQAs9oA_M,Is tech addictive? It won't be for long. | Joscha Bach  | Big Think,youtube,Big Think,https://www.youtube.com/watch?v=m4nQAs9oA_M,2018-05-24,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_noScrzeEh4o,"AI, Consciousness, Science, Art & Understanding - Joscha Bach",youtube,"Science, Technology & the Future",https://www.youtube.com/watch?v=noScrzeEh4o,2018-05-14,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_sXJlaTlfoy0,The Grand Challenge of Developing Friendly Artificial Intelligence - Joscha Bach,youtube,"Science, Technology & the Future",https://www.youtube.com/watch?v=sXJlaTlfoy0,2018-02-17,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_ziXNbF8xsLo,AI & automation: should it trump human agency? - Joscha Bach,youtube,"Science, Technology & the Future",https://www.youtube.com/watch?v=ziXNbF8xsLo,2018-02-16,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_oHvQd12bnqg,Exciting progress in Artificial Intelligence - Joscha Bach,youtube,"Science, Technology & the Future",https://www.youtube.com/watch?v=oHvQd12bnqg,2018-02-16,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_ji2iJmmb0F4,Resistance is Futile: AI will take all your jobs - Joscha Bach,youtube,"Science, Technology & the Future",https://www.youtube.com/watch?v=ji2iJmmb0F4,2018-02-16,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_U5-ektDQwtg,"Ethical progress, AI & the ultimate utility function - Joscha Bach",youtube,"Science, Technology & the Future",https://www.youtube.com/watch?v=U5-ektDQwtg,2018-02-16,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_KWtHrkXqQxw,Cognitive Biases & in-group convergences - Joscha Bach,youtube,"Science, Technology & the Future",https://www.youtube.com/watch?v=KWtHrkXqQxw,2018-02-16,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_CBaUIibWI2w,Joscha Bach   From Computation to Consciousness,youtube,Daniel Yarmoluk,https://www.youtube.com/watch?v=CBaUIibWI2w,2018-01-24,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
ccc_DS2017_8820_machine_dreams,Machine Dreams,ccc,media.ccc.de,https://media.ccc.de/v/DS2017-8820-machine_dreams,2017-10-23,,curation_status=keep tier=keystone discovered_via=media.ccc.de format=talk
yt_LJLxDVigHQA,"Machine Consciousness Discussion - Penrose, Bach & Neven",youtube,The Artificial Intelligence Channel,https://www.youtube.com/watch?v=LJLxDVigHQA,2017-09-05,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_da-9zPgxWBY,Joscha Bach - From Computation to Consciousness,youtube,The Artificial Intelligence Channel,https://www.youtube.com/watch?v=da-9zPgxWBY,2017-09-03,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_xqetKitv1Ko,Joscha Bach - Strong AI: Why we should be concerned,youtube,"Science, Technology & the Future",https://www.youtube.com/watch?v=xqetKitv1Ko,2017-08-21,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_pKekkrgqsn0,"Gods, Monotheism, and Ideologies All Failed. But the Human Brain Could Still Succeed. | Joscha Bach",youtube,Big Think,https://www.youtube.com/watch?v=pKekkrgqsn0,2017-08-13,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_KUOW6Bgwleo,"Do Humans Have Free Will, Or Are We Programmed By Society? | Joscha Bach | Big Think",youtube,Big Think,https://www.youtube.com/watch?v=KUOW6Bgwleo,2017-07-11,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_3Bns4HkAniA,Artificial Intelligence Is the New Science of Human Consciousness | Joscha Bach | Big Think,youtube,Big Think,https://www.youtube.com/watch?v=3Bns4HkAniA,2017-07-01,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_R4k7Kfg_2Lc,Consciousness Central 2017 - Day 3 with guests Ivette Fuentes and Joscha Bach,youtube,Conscious Pictures,https://www.youtube.com/watch?v=R4k7Kfg_2Lc,2017-06-10,,curation_status=reject tier=aux discovered_via=ytsearch:Joscha format=talk
yt_UcARywxD1w8,[PLU] From Computation to Consciousness | Joscha Bach,youtube,Kroko Co,https://www.youtube.com/watch?v=UcARywxD1w8,2017-04-29,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
